$GPGGA,112414.20,6003.1073633,N,03017.8196810,E,1,17,0.7,22.856,M,15.996,M,,*59
$GPGGA,112414.40,6003.1073644,N,03017.8196693,E,1,17,0.7,22.860,M,15.996,M,,*5F
$GPGGA,112414.60,6003.1073698,N,03017.8196643,E,1,17,0.7,22.845,M,15.996,M,,*56
$GPGGA,112414.80,6003.1073784,N,03017.8196700,E,1,17,0.7,22.846,M,15.996,M,,*51
$GPGGA,112415.00,6003.1073817,N,03017.8196684,E,1,17,0.7,22.842,M,15.996,M,,*54
$GPGGA,112415.20,6003.1073808,N,03017.8196631,E,1,17,0.7,22.841,M,15.996,M,,*55
$GPGGA,112415.40,6003.1073823,N,03017.8196449,E,1,17,0.7,22.834,M,15.996,M,,*55
$GPGGA,112415.60,6003.1073856,N,03017.8196459,E,1,17,0.7,22.836,M,15.
$GPGGA,112415.80,6003.1073951,N,03017.8196525,E,1,17,0.7,22.822,M,15.996,M,
$GPGGA,112416.00,6003.1073956,N,03017.8196509,E,1,17,0.7,22.813,M,15.996,M,,*51
$GPGGA,112416.20,6003.1074000,N,03017.8196354,E,1,17,0.7,22.822,M,15.996,M,,*52
$GPGGA,112416.40,6003.1074034,N,03017.8196284,E,1,17,0.7,22.816,M,15.996,M,,*58
$GPGGA,112416.60,6003.1074061,N,03017.81
$GPGGA,112416.80,6003.1074139,N,03017.8196278,E,1,17,0.7,22.817,M,15.996,M,,*5A
$GPGGA,112417.00,6003.1074141,N,03017.8196248,E,1,17,0.7,22.808,M,15.996,M,,*51
$GPGGA,112417.20,6003.1074191,N,03017.8196162,E,
$GPGGA,112417.40,6003.1074221,N,03017.8196052,E,1,17,0.7,22.805,M,15.996,M,,*54
$GPGGA,112417.60,6003.1074247,N,03017.8196030,E,1,17,0.7,22.792,M,15.996,M,,*53
$GPGGA,112417.80,6003.1074229,N,03017.8196045,E,1,17,0.7,22.780,M,15.996,M,,*54
$GPGGA,112418.00,6003.1074343,N,03017.8195974,E,1,17,0.7,22.789,M,15.996,M,,*5F
$GPGGA,112418.20,6003.1074357,N,03017.8195877,E,1,17,0.7,22.790,M,15.996,M,,*52
$GPGGA,112418.40,6003.1074419,N,03017.8195910,E,1,17,0.7,22.781,M,15.996,M,,*59
$GPGGA,112418.60,6003.1074414,N,03017.8195828,E,1,17,0.7,22.776,M,15.996,M,,*54
$GPGGA,112418.80,6003.1074447,N,03017.8195729,E,1,17,0.7,22.772,M,15.996,M,,*56
$GPGGA,112419.00,6003.1074497,N,03017.8195731,E,1,17,0.7,22.759,M,15.996,M,,*52
$GPGGA,112419.20,6003.1074531,N,03017.8195729,E,1,17,0.7,22.757,M,15.996,M,,*5A
$GPGGA,112419.40,6003.1074628,N,03017.8195671,E,1,17,0.7,22.775,M,15.996,M,,*5B
